"leaid","enr_tot_d","region_d","nschools_elig","epp_d_imp","nschools","enr_tot_imp_avg_d","sme_pct_frp_avg_d","strat_d","distance_d_y","lottery_d_start","lottery_d_end"
3904747,184,2,1,12484.1630859375,2,65,0,"6",0.11168821901083,5093,5093
3904749,409,2,1,11988.505859375,2,224,0,"6",0.109481580555439,36146,36146
3904750,513,2,1,12629.0986328125,2,275,0.526315808296204,"6",0.0425968915224075,32447,32447
3904752,453,2,1,12561.3681640625,3,251,0,"6",0.109919868409634,843,843
3904754,406,2,1,13595.908203125,2,216,0.444444447755814,"6",0.0480586588382721,19971,19971
3904757,431,2,1,12677.4189453125,2,197,0,"6",0.110604599118233,22718,22718
3904761,740,2,1,12174.173828125,3,420,0.607142865657806,"6",0.0532527789473534,2508,2508
3904763,1134,2,1,10183.9462890625,3,537,0.495344519615173,"6",0.0402506329119205,8069,8069
3904768,1596,2,5,11640.5673828125,9,192.800003051758,0.255166113376617,"6",0.0729113966226578,7354,7358
3904769,2129,2,3,10365.4892578125,7,221.66667175293,0.45685601234436,"6",0.0452142767608166,8030,8032
3904771,610,2,1,11761.240234375,2,311,0,"6",0.108328558504581,8669,8669
3904772,875,2,1,11141.201171875,3,446,0,"6",0.108917750418186,40650,40650
3904773,744,2,1,12156.2099609375,3,370,0.424324333667755,"6",0.0477313138544559,29627,29627
3904774,996,2,1,12119.5546875,4,481,0.453222453594208,"6",0.0446699671447277,36690,36690
3904776,1196,2,1,10559.6708984375,2,583,0.79222971200943,"6",0.0818315893411636,32947,32947
3904778,1574,2,3,11457.2919921875,5,304.666656494141,0.596420168876648,"6",0.0511453337967396,516,518
3904779,1481,2,2,10827.13671875,4,415,0.554360032081604,"6",0.0458357483148575,33319,33320
3904782,1088,2,1,9698.7177734375,3,514,0.233463034033775,"6",0.0780322104692459,42609,42609
3904783,621,2,1,11972.6689453125,4,310,0.800000011920929,"6",0.0805316492915154,9473,9473
3904785,1196,2,1,8970.9443359375,3,551,0.700544476509094,"6",0.0703788995742798,40609,40609
3904787,1194,2,1,12825.9384765625,3,488,0.0717213079333305,"6",0.100114345550537,4019,4019
3904788,3125,2,2,8873.16015625,5,632.5,0.392742127180099,"6",0.0574870519340038,2246,2247
3904792,1100,2,1,12060.931640625,3,549,0.863232672214508,"6",0.0909896045923233,42426,42426
3904794,1424,2,1,14935.1201171875,3,743,0.86388885974884,"6",0.0965838581323624,20329,20329
3904795,1552,2,2,10972.7451171875,4,403.5,0.824869990348816,"6",0.0841846168041229,12533,12534
3904796,763,2,1,14006.83984375,2,539,0.690941393375397,"6",0.0686841905117035,16191,16191
3904798,1670,2,1,9330.5576171875,3,778,0.208226218819618,"6",0.0847385227680206,34615,34615
3904801,2027,2,1,9520.18359375,3,963,0.388369679450989,"6",0.0606229603290558,22655,22655
3904802,1578,2,2,10422.490234375,4,380,0.405184686183929,"6",0.0512621663510799,41418,41419
3904809,655,2,1,10301.349609375,2,321,0.872274160385132,"6",0.0918197184801102,38896,38896
3904815,1627,2,1,10686.658203125,3,724,0.37707182765007,"6",0.0583985820412636,24450,24450
3904816,1471,2,1,9637.6328125,3,672,0.325892865657806,"6",0.0664868205785751,34053,34053
3904821,973,2,1,15609.3583984375,2,488,0,"6",0.113804399967194,38235,38235
3904822,3537,2,4,11097.7587890625,6,402.5,0.347726553678513,"6",0.0588603727519512,3303,3306
3904823,7054,2,8,11894.306640625,11,479.125,0.540072441101074,"6",0.0439174696803093,6766,6773
3904825,1155,2,1,12417.5087890625,3,518,0.449806958436966,"6",0.0458973497152328,33468,33468
3904832,748,2,1,12746.1650390625,3,455,0.450549453496933,"6",0.0455666407942772,30916,30916
3904833,500,2,1,10778.810546875,2,274,0,"6",0.109443560242653,32842,32842
3904835,409,2,1,12764.822265625,2,201,0.803703725337982,"6",0.0831332206726074,20319,20319
3904839,654,2,1,10691.740234375,3,270,0,"6",0.109591387212276,32445,32445
3904841,1063,2,1,11291.5849609375,3,506,0.513833999633789,"6",0.0403835140168667,35028,35028
3904843,643,2,1,11798.55078125,2,314,0.496815294027328,"6",0.0373710468411446,1586,1586
3904844,1959,2,2,9563.6728515625,4,467,0.441212892532349,"6",0.0480497777462006,8633,8634
3904846,1141,2,1,11725.6943359375,3,539,0,"6",0.109509885311127,28911,28911
3904848,2272,2,1,11507.0966796875,3,1064,0.325187981128693,"6",0.0682024508714676,1886,1886
3904849,3240,2,3,9827.4873046875,5,470.666656494141,0.0881016775965691,"6",0.0982045382261276,9954,9956
3904851,801,2,1,10601.7265625,2,531,0.495291888713837,"6",0.0396810732781887,11810,11810
